full_ID,trial_num,fishID,col_location,col_month,lat_to_trial,weight,length,depth,svl,bp_area,bp_length,mated,lat_to_preg,MatingSuccess,NumDeveloped_Calc,NumUndeveloped_Calc,totalEggs,relative_fit,sex
FL12M1,12,1,TBML,november,13,2.1,164.461,5.266,70.876,178.759,33.97,0,NA,0,0,0,0,0,M
FL12M2,12,2,TBML,november,13,3.8,183.007,6.155,76.211,255.654,48.613,0,NA,0,0,0,0,0,M
FL12M3,12,3,TBML,november,13,3,166.805,5.032,69.713,244.224,43.509,1,1,1,204,32,236,2.175115207,M
FL12M4,12,4,TBML,november,13,4.4,164.553,6.809,82.816,334.015,53.008,0,NA,0,0,0,0,0,M
FL12M5,12,5,TBML,november,13,4,184.048,6.353,73.813,304.415,51.056,0,NA,0,0,0,0,0,M
FL12M6,12,6,TBML,november,13,3.2,179.026,5.905,76.184,255.328,45.385,0,NA,0,0,0,0,0,M
FL12M7,12,7,TBML,november,13,2.4,161.592,5.505,68.063,212.203,39.417,1,4,1,173,66,239,2.202764977,M
FL12M8,12,8,TBML,november,13,3.6,191.795,6.032,81.19,NA,NA,0,NA,0,0,0,0,0,M
FL2M1,2,1,TBML,september,19,3.3,179.53,6.157,75.048,248.56,46.541,0,NA,0,0,0,0,0,M
FL2M2,2,2,TBML,september,19,2.3,167.096,4.817,67.123,256.911,56.069,1,10,1,25,0,25,0.230414747,M
FL2M3,2,3,TBML,october,12,5.1,203.378,7.164,86.735,291.69,50.16,1,2,1,131,28,159,1.465437788,M
FL2M4,2,4,TBML,october,12,4.9,208.83,6.801,80.84,482.708,62.954,0,NA,0,0,0,0,0,M
FL2M5,2,5,TBML,october,12,2,168.044,4.556,68.549,195.087,47.338,0,NA,0,0,0,0,0,M
FL2M6,2,6,TBML,october,12,3.5,180.689,5.692,78.81,262.56,48.773,0,NA,0,0,0,0,0,M
FL2M7,2,7,TBML,october,12,1.7,179.602,3.381,61.69,NA,NA,0,NA,0,0,0,0,0,M
FL2M8,2,8,TBML,october,12,2.7,176.745,5.401,72.091,266.031,51.883,1,4,2,260,89,349,3.216589862,M
FL3M1,3,1,TBML,october,12,3.1,173.07,5.67,75.712,226.528,45.033,0,NA,0,0,0,0,0,M
FL3M2,3,2,TBML,october,12,3.9,189.35,6.709,76.701,341.028,57.531,1,1,1,364,23,387,3.566820276,M
FL3M3,3,3,FD,october,9,2.2,147.848,5.471,66.634,176.308,37.232,1,2,1,289,50,339,3.124423963,M
FL3M4,3,4,TBML,october,12,1.6,158.925,4.203,62.197,182.056,43.341,1,10,1,85,3,88,0.811059908,M
FL3M5,3,5,TBML,october,12,4.8,182.257,7.689,82.505,316.641,49.166,1,3,1,154,131,285,2.626728111,M
FL3M6,3,6,TBML,october,19,4,186.13,6.854,79.895,257.996,47.955,1,1,2,344,9,353,3.253456221,M
FL3M7,3,7,TBML,october,12,1.8,156.577,4.606,64.718,182.479,41.926,1,1,2,407,60,467,4.304147465,M
FL3M8,3,8,TBML,october,12,3.4,178.187,5.903,66.291,262.164,54.198,1,4,2,463,37,500,4.608294931,M
FL4M1,4,1,FD,october,11,5.3,201.136,6.819,86.769,294.097,50.213,0,NA,0,0,0,0,0,M
FL4M2,4,2,FD,october,11,5.4,191.748,7.68,84.394,350.439,52.084,0,NA,0,0,0,0,0,M
FL4M3,4,3,FD,october,11,4.1,170.744,7.297,74.834,298.029,46.94,1,3,1,395,32,427,3.935483871,M
FL4M4,4,4,FD,october,11,2.6,168.675,5.163,71.59,236.795,48.457,1,2,2,76,80,156,1.437788018,M
FL4M5,4,5,FD,october,11,4.3,195.779,6.723,86.756,319.598,53.536,0,NA,0,0,0,0,0,M
FL4M6,4,6,FD,october,11,4.9,193.452,7.474,83.884,297.339,48.208,0,NA,0,0,0,0,0,M
FL4M7,4,7,FD,october,11,2.8,167.744,5.433,72.293,225.355,43.401,1,11,1,164,0,164,1.511520737,M
FL4M8,4,8,FD,october,11,3.2,167.624,6.005,72.705,215.416,45.451,1,5,2,9,0,9,0.082949309,M
FL5M1,5,1,FD,october,12,1.5,140.47,4.437,65.057,147.348,35.986,0,NA,0,0,0,0,0,M
FL5M2,5,2,FD,october,12,6.3,215.624,8.784,88.203,374.756,57.601,0,NA,0,0,0,0,0,M
FL5M3,5,3,TBML,october,8,1.8,124.09,4.354,60.552,257.145,53.488,1,1,1,362,10,372,3.428571429,M
FL5M4,5,4,TBML,october,8,5.2,203.478,7.501,79.615,325.367,51.715,0,NA,0,0,0,0,0,M
FL5M5,5,5,TBML,october,8,5.5,195.027,7.412,76.273,400.462,53.949,1,4,1,230,6,236,2.175115207,M
FL5M6,5,6,TBML,october,8,3.6,169.075,6.795,70.83,231.502,42.485,1,1,1,384,46,430,3.963133641,M
FL5M7,5,7,TBML,october,8,4.5,188.508,6.055,79.24,344.682,50.366,0,NA,0,0,0,0,0,M
FL5M8,5,8,TBML,october,15,2,157.881,4.656,67.131,187.643,39.494,1,7,1,165,13,178,1.640552995,M
FL6M1,6,1,TBML,october,13,2.6,168.16,4.977,74.61,223.157,44.233,0,NA,0,0,0,0,0,M
FL6M2,6,2,TBML,october,13,3.2,178.835,5.193,73.06,291.06,55.48,1,3,1,263,0,263,2.423963134,M
FL6M3,6,3,TBML,october,13,1.7,162.557,4.444,64.626,175.046,44.913,0,NA,0,0,0,0,0,M
